,species_category,detection_time,probability,detection_count,surveyID,drone_lat,drone_lon,species_name,KML
0,Possum,2022-10-24 20:46:00,Med,1.0,47ef08c0-2fd2-426b-8de0-9f78ea15105e,-33.64406,151.25623,Common Brushtail Possum,drive/Shareddrives/Thermal File Archive/.UGCS/Koala Strategy_20221024-28/SYB07_hPL_287447_UGCS_AGL_156m.kml
1,Possum,2022-10-24 20:50:00,High,1.0,47ef08c0-2fd2-426b-8de0-9f78ea15105e,-33.64497,151.25628,Common Brushtail Possum,drive/Shareddrives/Thermal File Archive/.UGCS/Koala Strategy_20221024-28/SYB07_hPL_287447_UGCS_AGL_156m.kml
2,Possum,2022-10-24 20:54:00,High,1.0,47ef08c0-2fd2-426b-8de0-9f78ea15105e,-33.64704,151.25663,Common Brushtail Possum,drive/Shareddrives/Thermal File Archive/.UGCS/Koala Strategy_20221024-28/SYB07_hPL_287447_UGCS_AGL_156m.kml
3,Aerial Species,2022-10-24 20:56:00,,1.0,47ef08c0-2fd2-426b-8de0-9f78ea15105e,-33.64962,151.25766,Aerial,drive/Shareddrives/Thermal File Archive/.UGCS/Koala Strategy_20221024-28/SYB07_hPL_287447_UGCS_AGL_156m.kml
4,Possum,2022-10-24 20:58:00,100%,2.0,47ef08c0-2fd2-426b-8de0-9f78ea15105e,-33.64904,151.25756,Common Brushtail Possum,drive/Shareddrives/Thermal File Archive/.UGCS/Koala Strategy_20221024-28/SYB07_hPL_287447_UGCS_AGL_156m.kml
5,Possum,2022-10-24 21:00:00,Med,1.0,47ef08c0-2fd2-426b-8de0-9f78ea15105e,-33.64843,151.25744,Common Brushtail Possum,drive/Shareddrives/Thermal File Archive/.UGCS/Koala Strategy_20221024-28/SYB07_hPL_287447_UGCS_AGL_156m.kml
6,Possum,2022-10-24 21:08:00,100%,2.0,47ef08c0-2fd2-426b-8de0-9f78ea15105e,-33.6475,151.25726,Common Ringtail Possum,drive/Shareddrives/Thermal File Archive/.UGCS/Koala Strategy_20221024-28/SYB07_hPL_287447_UGCS_AGL_156m.kml
7,Possum,2022-10-24 21:12:00,,1.0,47ef08c0-2fd2-426b-8de0-9f78ea15105e,-33.64341,151.25649,Common Brushtail Possum,drive/Shareddrives/Thermal File Archive/.UGCS/Koala Strategy_20221024-28/SYB07_hPL_287447_UGCS_AGL_156m.kml
8,Arboreal Species,2022-10-24 21:17:00,,1.0,47ef08c0-2fd2-426b-8de0-9f78ea15105e,-33.64583,151.25749,Arboreal Species,drive/Shareddrives/Thermal File Archive/.UGCS/Koala Strategy_20221024-28/SYB07_hPL_287447_UGCS_AGL_156m.kml
9,Possum,2022-10-24 21:18:00,100%,1.0,47ef08c0-2fd2-426b-8de0-9f78ea15105e,-33.64717,151.25774,Common Ringtail Possum,drive/Shareddrives/Thermal File Archive/.UGCS/Koala Strategy_20221024-28/SYB07_hPL_287447_UGCS_AGL_156m.kml
10,Possum,2022-10-24 21:20:00,,1.0,47ef08c0-2fd2-426b-8de0-9f78ea15105e,-33.64806,151.25792,Common Brushtail Possum,drive/Shareddrives/Thermal File Archive/.UGCS/Koala Strategy_20221024-28/SYB07_hPL_287447_UGCS_AGL_156m.kml
11,Possum,2022-10-24 21:22:00,,1.0,47ef08c0-2fd2-426b-8de0-9f78ea15105e,-33.64825,151.25849,Common Brushtail Possum,drive/Shareddrives/Thermal File Archive/.UGCS/Koala Strategy_20221024-28/SYB07_hPL_287447_UGCS_AGL_156m.kml
12,Possum,2022-10-24 21:24:00,,1.0,47ef08c0-2fd2-426b-8de0-9f78ea15105e,-33.64716,151.25827,Common Ringtail Possum,drive/Shareddrives/Thermal File Archive/.UGCS/Koala Strategy_20221024-28/SYB07_hPL_287447_UGCS_AGL_156m.kml
13,Possum,2022-10-24 21:31:00,,1.0,47ef08c0-2fd2-426b-8de0-9f78ea15105e,-33.64448,151.25778,Common Ringtail Possum,drive/Shareddrives/Thermal File Archive/.UGCS/Koala Strategy_20221024-28/SYB07_hPL_287447_UGCS_AGL_156m.kml
14,Possum,2022-10-24 21:32:00,,1.0,47ef08c0-2fd2-426b-8de0-9f78ea15105e,-33.64342,151.25758,Common Brushtail Possum,drive/Shareddrives/Thermal File Archive/.UGCS/Koala Strategy_20221024-28/SYB07_hPL_287447_UGCS_AGL_156m.kml
15,Arboreal Species,2022-10-24 21:34:00,,1.0,47ef08c0-2fd2-426b-8de0-9f78ea15105e,-33.64344,151.25812,Arboreal Species,drive/Shareddrives/Thermal File Archive/.UGCS/Koala Strategy_20221024-28/SYB07_hPL_287447_UGCS_AGL_156m.kml
16,Possum,2022-10-24 21:36:00,,2.0,47ef08c0-2fd2-426b-8de0-9f78ea15105e,-33.64387,151.25822,Common Brushtail Possum,drive/Shareddrives/Thermal File Archive/.UGCS/Koala Strategy_20221024-28/SYB07_hPL_287447_UGCS_AGL_156m.kml
17,Possum,2022-10-24 21:37:00,,1.0,47ef08c0-2fd2-426b-8de0-9f78ea15105e,-33.64497,151.25841,Common Brushtail Possum,drive/Shareddrives/Thermal File Archive/.UGCS/Koala Strategy_20221024-28/SYB07_hPL_287447_UGCS_AGL_156m.kml
18,Arboreal Species,2022-10-24 21:39:00,,1.0,47ef08c0-2fd2-426b-8de0-9f78ea15105e,-33.64544,151.25851,Arboreal Species,drive/Shareddrives/Thermal File Archive/.UGCS/Koala Strategy_20221024-28/SYB07_hPL_287447_UGCS_AGL_156m.kml
19,Possum,2022-10-24 21:41:00,,1.0,47ef08c0-2fd2-426b-8de0-9f78ea15105e,-33.64691,151.25879,Common Ringtail Possum,drive/Shareddrives/Thermal File Archive/.UGCS/Koala Strategy_20221024-28/SYB07_hPL_287447_UGCS_AGL_156m.kml
20,Aerial Species,2022-10-24 21:43:00,,1.0,47ef08c0-2fd2-426b-8de0-9f78ea15105e,-33.64784,151.25897,Bird,drive/Shareddrives/Thermal File Archive/.UGCS/Koala Strategy_20221024-28/SYB07_hPL_287447_UGCS_AGL_156m.kml
21,Possum,2022-10-24 21:45:00,,1.0,47ef08c0-2fd2-426b-8de0-9f78ea15105e,-33.64827,151.25903,Common Brushtail Possum,drive/Shareddrives/Thermal File Archive/.UGCS/Koala Strategy_20221024-28/SYB07_hPL_287447_UGCS_AGL_156m.kml
22,Possum,2022-10-24 21:46:00,100%,1.0,47ef08c0-2fd2-426b-8de0-9f78ea15105e,-33.64947,151.25941,Common Brushtail Possum,drive/Shareddrives/Thermal File Archive/.UGCS/Koala Strategy_20221024-28/SYB07_hPL_287447_UGCS_AGL_156m.kml
23,Arboreal Species,2022-10-24 21:53:00,,1.0,47ef08c0-2fd2-426b-8de0-9f78ea15105e,-33.64854,151.25966,Arboreal Species,drive/Shareddrives/Thermal File Archive/.UGCS/Koala Strategy_20221024-28/SYB07_hPL_287447_UGCS_AGL_156m.kml
24,Possum,2022-10-24 21:53:00,,1.0,47ef08c0-2fd2-426b-8de0-9f78ea15105e,-33.64859,151.25966,Common Brushtail Possum,drive/Shareddrives/Thermal File Archive/.UGCS/Koala Strategy_20221024-28/SYB07_hPL_287447_UGCS_AGL_156m.kml
25,Possum,2022-10-24 21:55:00,,1.0,47ef08c0-2fd2-426b-8de0-9f78ea15105e,-33.64678,151.25932,Common Ringtail Possum,drive/Shareddrives/Thermal File Archive/.UGCS/Koala Strategy_20221024-28/SYB07_hPL_287447_UGCS_AGL_156m.kml
26,Possum,2022-10-24 22:00:00,,1.0,47ef08c0-2fd2-426b-8de0-9f78ea15105e,-33.64342,151.25921,Possum,drive/Shareddrives/Thermal File Archive/.UGCS/Koala Strategy_20221024-28/SYB07_hPL_287447_UGCS_AGL_156m.kml
27,Possum,2022-10-24 22:02:00,,1.0,47ef08c0-2fd2-426b-8de0-9f78ea15105e,-33.64668,151.25984,Common Ringtail Possum,drive/Shareddrives/Thermal File Archive/.UGCS/Koala Strategy_20221024-28/SYB07_hPL_287447_UGCS_AGL_156m.kml
28,Arboreal Species,2022-10-24 22:04:00,,1.0,47ef08c0-2fd2-426b-8de0-9f78ea15105e,-33.64889,151.2608,Arboreal Species,drive/Shareddrives/Thermal File Archive/.UGCS/Koala Strategy_20221024-28/SYB07_hPL_287447_UGCS_AGL_156m.kml
